Data;ICI Com Ajuste Sazonal - Índice de Confiança da Indústria (CNAE 2.0)(1416212);ISA Com Ajuste Sazonal - Índice de Confiança da Indústria - Situação Atual (CNAE 2.0)(1416213);IE Com Ajuste Sazonal - Índice de Confiança da Indústria - Expectativas (CNAE 2.0)(1416214);Sondagem Industrial - Nível de Utilização da Capacidade Instalada Com Ajuste Sazonal (CNAE 2.0)(1416215);ICS Com Ajuste Sazonal - Índice de Confiança de Serviços (CNAE 2.0)(1416217);ISA-S Com Ajuste Sazonal - Índice da Situação Atual de Serviços (CNAE 2.0)(1416218);IE-S Com Ajuste Sazonal - Índice de Expectativas de Serviços (CNAE 2.0)(1416219);Sondagem de Serviços – Nível de Utilização da Capacidade Instalada Com Ajuste Sazonal(1428410);ICOM Com ajuste Sazonal-Índice de Confiança do Varejo Ampliado (CNAE 2.0)(1416226);ISA-COM Com ajuste Sazonal-Índice da Situação Atual do Varejo Ampliado (CNAE 2.0)(1416227);IE-COM Com ajuste Sazonal-Índice de Expectativas do Varejo Ampliado (CNAE 2.0)(1416228);Sondagem da Construção – Nível de Utilização da Capacidade Instalada(1428409);IE-CST Com ajuste Sazonal - Índice de Expectativas da Construção (CNAE 2.0)(1416233);ISA-CST Com ajuste Sazonal - Índice da Situação Atual da Construção (CNAE 2.0)(1416234);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232);Índice de Confiança do Consumidor com Ajuste Sazonal(1006982);Índice de Confiança do Consumidor - Situação Presente com Ajuste Sazonal(1006983);Índice de Confiança do Consumidor - Expectativas com Ajuste Sazonal(1006984);Indicador de Expectativa de Inflação dos Consumidores(1416188);Indicador Coincidente de Emprego (ICD) com ajuste sazonal(1416204);Indicador Antecedente de Emprego (IA Emp) com ajuste sazonal(1416205)
11/2004;110,100;111,300;108,700;82,60; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
12/2004;108,800;109,800;107,800;83,00; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
01/2005;107,500;107,100;107,900;83,50; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
02/2005;105,000;103,300;106,700;83,30; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
03/2005;103,300;100,300;106,300;82,90; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
04/2005;101,600;96,800;106,400;82,70; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
05/2005;99,100;95,600;102,600;81,90; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
06/2005;96,700;93,400;100,000;81,10; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
07/2005;95,100;92,500;97,800;80,30; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
08/2005;95,100;93,100;97,300;80,30; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
09/2005;95,500;94,500;96,300;80,40; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;86,600;85,000;88,300;8,100; - ; - 
10/2005;95,400;95,300;95,500;80,50; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;88,700;85,500;91,500;7,700; - ; - 
11/2005;95,500;96,500;94,400;80,00; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;88,000;85,300;90,400;7,800;100,000; - 
12/2005;98,100;97,000;99,200;80,50; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;89,300;87,200;91,300;7,500;101,500; - 
01/2006;100,200;100,500;100,000;81,60; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;95,500;89,800;99,700;6,900;99,900; - 
02/2006;100,600;101,000;100,200;81,20; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;94,700;87,900;99,700;7,000;99,900; - 
03/2006;101,400;101,600;101,200;81,60; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;93,700;89,600;96,700;6,900;100,300; - 
04/2006;103,100;103,100;102,900;81,10; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;92,200;87,500;95,700;6,500;99,400; - 
05/2006;100,000;97,800;102,000;81,10; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;90,500;86,600;93,700;6,700;100,100; - 
06/2006;99,800;97,700;101,800;81,20; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;89,700;86,900;92,200;6,300;98,500; - 
07/2006;101,300;99,300;103,300;81,70; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;90,600;88,700;92,300;6,900;100,500; - 
08/2006;99,400;98,000;100,700;81,80; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;90,800;85,500;95,000;6,400;99,900; - 
09/2006;101,100;100,600;101,600;81,90; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;90,600;85,400;94,600;6,300;101,000; - 
10/2006;100,500;100,100;100,900;81,60; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;93,700;88,000;97,900;5,800;99,500; - 
11/2006;103,100;104,100;101,900;81,60; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;95,900;87,500;101,900;5,700;101,800; - 
12/2006;105,200;105,700;104,800;81,70; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;98,300;88,400;105,300;5,700;101,900; - 
01/2007;104,600;103,700;105,500;82,30; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;99,400;87,600;107,500;5,700;100,400; - 
02/2007;107,700;109,000;106,400;83,10; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;100,400;88,100;109,100;5,700;100,800; - 
03/2007;109,600;110,300;108,700;82,60; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;96,200;84,900;104,300;5,300;101,500; - 
04/2007;110,800;111,900;109,700;82,80; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;96,000;87,800;101,900;5,200;97,300; - 
05/2007;111,600;114,100;108,900;83,10; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;98,200;88,000;105,300;5,700;98,100; - 
06/2007;110,900;112,100;109,500;83,60; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;98,700;88,200;106,100;5,700;96,700; - 
07/2007;112,800;114,600;110,800;83,70; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;97,100;89,200;102,800;4,800;94,900; - 
08/2007;112,600;114,100;111,100;83,50; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;98,000;89,900;103,600;4,900;95,900; - 
09/2007;113,000;114,800;110,900;83,90; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;98,200;87,100;106,100;5,200;96,500; - 
10/2007;115,200;120,100;110,200;84,60; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;100,300;87,900;108,900;6,000;94,800; - 
11/2007;114,100;116,900;111,200;84,60; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;101,900;90,000;110,100;6,400;93,900; - 
